A,B,C,D,E,FinalRollup
Public Land,Wildfire,NA,NA,NA,We recommend you do a soil translocation or a noninoculated wattle.
Public Land,Prescribed Fire,NA,Wooded Area,NA,"We recommend you do a soil translocation or a noninoculated wattle to stimulate activity. The soil translocation method performed well in forested ecosystems and the noninoculated wattle performed best after that. Click ""download protocol"" button to download a pdf of the protocols."
Private Land,Prescribed Fire,NA,NA,Northern,We recommend you do a single strain inoculation.
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
